date,predicted_complaints,model
2026-03-21,98.74914772568492,STL_ComponentHGB_SelectedFeatures
2026-03-22,91.80985507782081,STL_ComponentHGB_SelectedFeatures
2026-03-23,115.02075311416696,STL_ComponentHGB_SelectedFeatures
2026-03-24,114.30122351060822,STL_ComponentHGB_SelectedFeatures
2026-03-25,114.70092127399809,STL_ComponentHGB_SelectedFeatures
2026-03-26,110.89004433587837,STL_ComponentHGB_SelectedFeatures
2026-03-27,94.1831815796573,STL_ComponentHGB_SelectedFeatures
2026-03-28,108.61937591770536,STL_ComponentHGB_SelectedFeatures
2026-03-29,110.55051261631208,STL_ComponentHGB_SelectedFeatures
2026-03-30,104.43887581724766,STL_ComponentHGB_SelectedFeatures
2026-03-31,112.3758906791197,STL_ComponentHGB_SelectedFeatures
